Vabali	€27.50 / 2h; €36.50 / 4h; €51.50 day	Daily 09:00–24:00; 08:00–24:00 from 1 Oct to 31 Mar
Grand Hyatt — Club Olympus	Weekday €40 / 2h or €80 day; weekend €50 / 2h or €95 day	07:00–21:00
Hilton Berlin — LivingWell	€33 / 2.5h; €39 day	07:00–21:00
Steigenberger — Sky Spa	€25 / 2h; €40 day	Mon–Fri 14:00–22:00; Sat 10:00–22:00; Sun 10:00–18:00
Hotel de Rome — De Rome Spa	From about €90 day	Sauna roughly 10:00–21:00
Hotel Adlon Kempinski	€65 weekday; €85 weekend day pass	07:00–21:00
Hotel Palace — Palace Spa	About €34–35 / 3h; €39 day	Mon–Sat 06:30–22:00; Sun & holidays 08:00–22:00
Titanic Gendarmenmarkt — BeFine	About €35 day	Mon–Thu 12:30–21:00; Fri–Sat 10:00–21:00; Sun 10:00–18:30
Park Inn Alexanderplatz — Gezer Spa	€12.50 / 2h; €17.50 / 4h; €22.50 Tageskarte	Daily 12:00–22:00; 12:00–18:00 from 1 Oct to 31 Mar
InterContinental Berlin	Day visitors €60 / 2h; €100 day. Hotel guests €10 pool, €20 pool + sauna per day	Daily 07:00–21:00 (Spa Card); Time Card Mon–Fri 07:00–15:00
The Westin Grand — Gezer Spa	€15 / 2h; €20 / 4h; €25 Tageskarte	Daily 14:00–22:00
sly Berlin	Hotel guests only, no public day pass	About 06:00–23:00
KIEZ SAUNA Friedrichshain	€22 / 4h	Daily 15:00–24:00; 13:00–24:00 from 1 Oct to 31 Mar
Olivin	€22 / 4h; reduced €21; extra hour +€6; late tariff from 21:30 €20; happy hour €20	Daily 12:00–24:00; summer 17:00–24:00, Thu 12:00–24:00
LIQUIDROM	Short Escape 90 €22; Urban Flow 120 €24.50; Deep Dive 180 €29.50; +€5 per 30 min; sauna add-on +€2.50	Mon–Thu 10:00–24:00; Fri–Sun 10:00–01:00
Saunabad Prenzlauer Berg	€18 / 2.5h; €20 / 4h	15:00–24:00
Lützow Sauna	€24 / 2h; €27 / 3h; €30 day	Mon 18:00–23:00; Wed, Fri–Sun 16:00–23:00; closed Tue and Thu
ANTI SPA	Regular sessions around €29	Session based
Stadtbad Neukölln	About €20 / 3h; €23 day	Sauna summer break through 31 Oct 2026
Finnland Zentrum	€40 for up to 4 people; each extra adult €10	Booking by email or phone
